Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
20/09/2018 12:04,Cash,Transportation,Train,2 Place 5 to Place 0,30,Expense,RM
20/09/2018 12:03,Cash,Food,snacks,Idli medu Vada mix 2 plates,60,Expense,RM
19/09/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199,Expense,RM
17/09/2018 23:41,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19,Expense,RM
15/09/2018 6:34,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200,Expense,RM
14/09/2018 5:39,Cash,Transportation,auto,Place 2 station to Permanent Residence,50,Expense,RM
13/09/2018 21:35,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40,Expense,RM
13/09/2018 21:01,Credit Card,Other,,HBR 2 Months subscription,83,Expense,RM
13/09/2018 21:01,Cash,Food,Grocery,1kg atta,46,Expense,RM
13/09/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
13/09/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
12/09/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667,Expense,RM
11/09/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,650,Expense,RM
11/09/2018,Saving Bank account 1,Other,,From Family,3500,Income,RM
11/09/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
10/09/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
08/09/2018,Cash,Family,Pocket money,,40,Expense,RM
07/09/2018,Cash,Food,Milk,Half lit  milk,37,Expense,RM
07/09/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Investment,RM
06/09/2018,Cash,Food,snacks,Amul butter,55,Expense,RM
05/09/2018,Cash,Apparel,Laundry,11 clothes ironing,77,Expense,RM
05/09/2018,Cash,Food,snacks,Chinese Bhel,30,Expense,RM
05/09/2018,Cash,Food,snacks,Shev Puri,40,Expense,RM
05/09/2018,Cash,Food,snacks,2 kachori,24,Expense,RM
05/09/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,RM
05/09/2018,Saving Bank account 1,Food,breakfast,Bread,18,Expense,RM
03/09/2018,Cash,Family,Pocket money,,2000,Expense,RM
01/09/2018,Saving Bank account 1,Public Provident Fund,,,12500,Investment,RM
01/09/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Savings,RM
31/08/2018 15:12,Cash,Family,Pocket money,,1000,Expense,RM
31/08/2018 15:12,Cash,Gift,,farewell contribution,118,Expense,RM
31/08/2018 10:01,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,RM
31/08/2018 9:27,Saving Bank account 1,Salary,,From workplace ,70255,Income,RM
31/08/2018 9:26,Cash,Food,Milk,Half lit  milk,36,Expense,RM
30/08/2018 21:10,Cash,Food,Sweets,Warna Srikhand pav kg,78,Expense,RM
29/08/2018 12:21,Cash,Food,Grocery,Baking soda,27,Expense,RM
29/08/2018 12:21,Cash,Food,Ice cream,chocobar,15,Expense,RM
29/08/2018 12:11,Cash,Food,Milk,Half lit  milk,36,Expense,RM
28/08/2018 21:04,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,RM
